Maker,Computer,Emulator,EmulatorMode,Type,URL,Licence,Title,Note
SHARP,X1,,,BIOS,https://github.com/meister68k/X1_compatible_rom,CC0-1.0 license ,X1 compatible ROM ver 0.7.3,8bit パソコン シャープ X1シリーズのエミュレータ等で使用可能なフリーの互換IPL ROMイメージです。
SHARP,X1,,,FONT,https://github.com/meister68k/X1_compatible_font,See site,X1互換 8x8ドットフリーフォント,8bit パソコン シャープ X1シリーズのエミュレータ等で使用可能なフリーのビットマップフォントです。
SHARP,X1,,,FONT,http://retropc.net/yui/np2tool/index.html,?,MAKEFONT32 - FONT.BMP作成ツール,対応するエミュレータ: T98、 T98N、 NP2 / Virtual98 / Anex86 / X1EMU、 X1R、 WinX1、 X millennium / EX68、 けろぴー 
SHARP,MZ-700,,,BIOS,http://mzakd.cool.coocan.jp/mz-memories/mz700win.html##6,See document,MZ-700用互換モニタＲＯＭ　MZ-NEW MONITOR,※　使用許諾について必ず同梱のテキストを読むようお願いします。当プログラムの掲載元、I/O 誌(工学社）編集部様などには問い合わせない様、お願いいたします。
SHARP,MZ-700,,,FONT,http://mzakd.cool.coocan.jp/starthp/subpage15.html,?,MZ-700WIN /EmuZ-700フォントデータの作成,フォントデータ　”MZ700FON.ＪＰ”をつくってみましょう。
SHARP,MZ-80K,,,BIOS,http://mzakd.cool.coocan.jp/mz-memories/mz700win.html##6,See document,MZ-700用互換モニタＲＯＭ　MZ-NEW MONITOR,※　使用許諾について必ず同梱のテキストを読むようお願いします。当プログラムの掲載元、I/O 誌(工学社）編集部様などには問い合わせない様、お願いいたします。
SHARP,MZ-80C,,,BIOS,http://mzakd.cool.coocan.jp/mz-memories/mz700win.html##6,See document,MZ-700用互換モニタＲＯＭ　MZ-NEW MONITOR,※　使用許諾について必ず同梱のテキストを読むようお願いします。当プログラムの掲載元、I/O 誌(工学社）編集部様などには問い合わせない様、お願いいたします。
SHARP,MZ-1200,,,BIOS,http://mzakd.cool.coocan.jp/mz-memories/mz700win.html##6,See document,MZ-700用互換モニタＲＯＭ　MZ-NEW MONITOR,※　使用許諾について必ず同梱のテキストを読むようお願いします。当プログラムの掲載元、I/O 誌(工学社）編集部様などには問い合わせない様、お願いいたします。
SHARP,X68000,,,BIOS,http://www.retropc.net/x68000/software/sharp/x68bios/,See document,IPL-ROM,X68000 シリーズに搭載されている IPL-ROM の中身です。エミュレータで使用します。
SHARP,X68000,,,FONT,http://retropc.net/yui/np2tool/index.html,?,MAKEFONT32 - FONT.BMP作成ツール,対応するエミュレータ: T98、 T98N、 NP2 / Virtual98 / Anex86 / X1EMU、 X1R、 WinX1、 X millennium / EX68、 けろぴー 
NEC,PC-6001,,,BASIC,http://000.la.coocan.jp/p6/basic.html,LGPL,PC-6001用互換BASIC,PC-6001用の互換BASICを書いてみました。実機のBASIC ROMの代替品として使用できます。まだまだバグや不具合があると思うので、気付いた点があれば教えてもらえると幸いです。
NEC,PC-6001,,,FONT,http://eighttails.seesaa.net/article/399926385.html,?,PC-6001互換CGROM Ver.1.1,先日公開した互換CGROMですが、ひらがなのバランスに納得がいかない点があったので補正しました。
NEC,PC-6001,,,FONT,http://eighttails.seesaa.net/article/305067428.html,?,PC-6001用互換CGROM2.0,
NEC,PC-6001 mkII,,,BASIC,http://000.la.coocan.jp/p6/basic66.html,LGPL,PC-6001mkII/6601用互換BASIC,PC-6001用に続き、PC-6001mkII/6601用の互換BASICを書いてみました。実機のBASIC ROMの代替品として使用できます。現在、少しずつ対応コマンドを増やしているところ。
NEC,PC-6601,,,BASIC,http://000.la.coocan.jp/p6/basic66.html,LGPL,PC-6001mkII/6601用互換BASIC,PC-6001用に続き、PC-6001mkII/6601用の互換BASICを書いてみました。実機のBASIC ROMの代替品として使用できます。現在、少しずつ対応コマンドを増やしているところ。
NEC,PC-8801,ePC-8801MA,N88-V1(S) mode,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801,ePC-8801MA,N88-V1(S) mode,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-8801,M88,N88-V1(S) mode,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801,M88,N88-V1(S) mode,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-8801,X88000,N88-BASIC V1-Sモード,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801,X88000,N88-BASIC V1-Sモード,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-8801mkII,ePC-8801MA,N88-V1(S) mode,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801mkII,ePC-8801MA,N88-V1(S) mode,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
